                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0903,                  4.624,                 2.4085,                      0,                      0,                      0,                      0,                 2.8659,                  4.532,                 2.6195,              1.875e-05,              1.875e-05,              1.875e-05
                      2,                 3.0036,                 4.6548,                 2.3858,                0.00114,                0.01212,                0.00069,                0.00024,                 2.6363,                 4.4956,                 2.4468,             4.3209e-05,             4.3209e-05,             4.3209e-05
                      3,                 2.6179,                 4.5015,                 2.1686,                0.01176,                0.12147,                0.03197,                   0.01,                  2.253,                 4.3881,                 2.1373,             6.7048e-05,             6.7048e-05,             6.7048e-05
                      4,                 2.2769,                 4.3127,                 1.9198,                0.01069,                 0.1879,                0.08735,                0.03291,                 2.0595,                 4.3193,                 1.9662,              9.027e-05,              9.027e-05,              9.027e-05
                      5,                 2.0965,                 4.1587,                 1.7822,                 0.0117,                0.27508,                0.13497,                0.04998,                 1.8885,                 4.2164,                 1.7599,             0.00011287,             0.00011287,             0.00011287
                      6,                 2.0855,                  3.918,                 1.7806,                0.01287,                0.33136,                0.14494,                0.07278,                 1.7634,                 4.1052,                 1.6198,             0.00013486,             0.00013486,             0.00013486
                      7,                 1.9399,                 3.6401,                 1.6399,                0.01541,                0.38008,                0.15857,                0.08627,                 1.6979,                 3.9949,                 1.5424,             0.00015622,             0.00015622,             0.00015622
                      8,                 1.9047,                 3.4076,                 1.6065,                0.01748,                0.41505,                0.18954,                0.10319,                 1.6601,                 3.8729,                 1.5012,             0.00017697,             0.00017697,             0.00017697
                      9,                 1.8613,                 3.1801,                 1.5902,                0.02432,                 0.5142,                 0.2309,                0.11736,                 1.6299,                 3.7645,                 1.4875,             0.00019709,             0.00019709,             0.00019709
                     10,                 1.8255,                 3.0028,                 1.5654,                0.02604,                0.59496,                0.29099,                0.14283,                 1.6302,                  3.651,                 1.4905,              0.0002166,              0.0002166,              0.0002166
                     11,                 1.8634,                 2.7871,                 1.5872,                0.94219,                0.12599,                0.32848,                0.15562,                 1.6516,                 3.5486,                  1.495,             0.00023549,             0.00023549,             0.00023549
                     12,                 1.7693,                 2.5866,                  1.507,                0.97746,                0.10713,                0.35841,                0.18102,                 1.6395,                  3.369,                 1.4926,             0.00025376,             0.00025376,             0.00025376
                     13,                 1.7661,                 2.5225,                 1.5063,                0.93844,                 0.1321,                0.39795,                0.19284,                 1.6215,                 3.2769,                 1.4717,             0.00027142,             0.00027142,             0.00027142
                     14,                 1.7667,                 2.4485,                 1.5106,                0.92053,                0.14982,                0.42979,                0.20476,                 1.6209,                 3.2077,                  1.465,             0.00028845,             0.00028845,             0.00028845
                     15,                 1.7332,                 2.3264,                 1.4862,                0.91135,                0.21797,                0.47981,                0.22754,                 1.6119,                 2.9674,                 1.4744,             0.00030486,             0.00030486,             0.00030486
                     16,                 1.7424,                 2.3221,                 1.4572,                0.89113,                0.22869,                0.49566,                0.22048,                 1.6131,                 2.9245,                 1.4555,             0.00032066,             0.00032066,             0.00032066
                     17,                 1.7453,                 2.2413,                 1.5269,                0.91338,                0.22487,                0.50181,                0.24633,                 1.5978,                 2.9247,                 1.4531,             0.00033584,             0.00033584,             0.00033584
                     18,                 1.6938,                 2.1201,                 1.4212,                0.91219,                0.25676,                0.54534,                0.27091,                 1.5861,                 2.9308,                 1.4462,              0.0003504,              0.0003504,              0.0003504
                     19,                 1.7668,                  2.134,                  1.496,                 0.8712,                0.27648,                0.52643,                0.25146,                 1.6237,                 2.9274,                 1.4727,             0.00036434,             0.00036434,             0.00036434
                     20,                  1.745,                 2.1128,                 1.4857,                0.81137,                0.29471,                0.56662,                 0.2727,                  1.615,                 2.8023,                 1.4918,             0.00037766,             0.00037766,             0.00037766
                     21,                 1.6791,                 2.0078,                 1.4455,                 0.7331,                0.30887,                 0.5734,                0.26795,                 1.6286,                 2.6501,                 1.5017,             0.00039036,             0.00039036,             0.00039036
                     22,                 1.6511,                 2.0746,                 1.4405,                0.72142,                0.29584,                0.56283,                 0.2541,                 1.6728,                 2.6342,                 1.5147,             0.00040244,             0.00040244,             0.00040244
                     23,                 1.6833,                 2.0706,                 1.4757,                0.72277,                0.34044,                0.59438,                 0.2726,                 1.6845,                 2.5535,                 1.5191,             0.00041391,             0.00041391,             0.00041391
                     24,                 1.6762,                 1.9582,                 1.4474,                0.68349,                0.38911,                0.60251,                0.29216,                 1.6746,                 2.4769,                 1.5087,             0.00042475,             0.00042475,             0.00042475
                     25,                 1.6963,                 1.9867,                  1.488,                 0.6028,                0.42302,                0.62536,                0.31623,                 1.7175,                 2.3902,                 1.5326,             0.00043498,             0.00043498,             0.00043498
                     26,                 1.6672,                 1.9366,                 1.4591,                0.63829,                0.51381,                0.65629,                0.33149,                 1.7081,                 2.2954,                  1.524,             0.00043164,             0.00043164,             0.00043164
                     27,                  1.681,                 1.8643,                 1.4423,                0.65276,                  0.515,                0.67162,                0.33861,                 1.6823,                 2.2408,                 1.5025,             0.00042391,             0.00042391,             0.00042391
                     28,                 1.6714,                 1.8272,                  1.416,                0.70722,                0.57647,                 0.6687,                0.33042,                 1.6719,                 2.2075,                 1.4992,             0.00041617,             0.00041617,             0.00041617
                     29,                 1.5758,                 1.7943,                 1.3399,                0.70722,                0.57647,                 0.6687,                0.33042,                 1.6719,                 2.2075,                 1.4992,             0.00040844,             0.00040844,             0.00040844
                     30,                 1.5807,                 1.8909,                 1.3843,                0.68629,                0.55219,                0.66627,                0.31259,                 1.6848,                 2.2219,                 1.5047,              0.0004007,              0.0004007,              0.0004007
                     31,                  1.628,                 1.8597,                 1.3985,                0.69118,                0.55098,                0.66433,                0.30487,                 1.7017,                 2.2288,                 1.4922,             0.00039297,             0.00039297,             0.00039297
                     32,                 1.6457,                 1.8627,                 1.4117,                0.73679,                0.52945,                0.67419,                  0.324,                 1.7216,                 2.1726,                 1.5129,             0.00038523,             0.00038523,             0.00038523
                     33,                 1.5905,                 1.7697,                 1.3791,                0.67513,                0.56511,                0.69803,                0.34231,                 1.7152,                 2.0947,                 1.5148,              0.0003775,              0.0003775,              0.0003775
                     34,                 1.5852,                 1.6859,                 1.3548,                0.67513,                0.56511,                0.69803,                0.34231,                 1.7152,                 2.0947,                 1.5148,             0.00036977,             0.00036977,             0.00036977
                     35,                 1.5637,                 1.6863,                 1.3547,                0.68546,                0.58309,                0.70509,                0.34723,                 1.7197,                 2.0716,                 1.5136,             0.00036203,             0.00036203,             0.00036203
                     36,                 1.5665,                 1.6708,                 1.3433,                0.66815,                0.58729,                0.70553,                0.34674,                   1.71,                 2.0505,                 1.5068,              0.0003543,              0.0003543,              0.0003543
                     37,                 1.5716,                  1.723,                 1.3631,                0.69059,                0.61069,                0.69878,                0.34332,                 1.7231,                 1.9775,                 1.5196,             0.00034656,             0.00034656,             0.00034656
                     38,                 1.5893,                 1.7312,                 1.3794,                0.68395,                0.58451,                  0.642,                0.31385,                 1.7926,                 2.0972,                 1.5789,             0.00033883,             0.00033883,             0.00033883
