                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4457,                 5.3465,                 5.9027,                  2.208,                 0.2437,                0.31716,                0.25026,                0.12198,                0.20947,                0.26667,                0.20902,                 0.0968,                 2.0143,                 2.1497,                 18.297,                 2.0412,             0.00014728,             0.00014728,             0.00014728
                      2,                 1.6883,                 2.3251,                 2.7836,                 1.6395,                0.37186,                0.42844,                0.33509,                0.17861,                0.34956,                0.40177,                0.30363,                0.15434,                 1.6002,                 1.5725,                 10.316,                 1.5858,             0.00029982,             0.00029982,             0.00029982
                      3,                 1.4976,                 1.9134,                 2.1838,                 1.4994,                0.62792,                0.61056,                0.69397,                0.38492,                0.61493,                 0.6519,                0.70582,                0.35782,                  1.521,                 1.3299,                  2.091,                 1.5069,             0.00045234,             0.00045234,             0.00045234
                      4,                  1.453,                 1.8788,                  2.359,                 1.4503,                0.53408,                0.37309,                0.30554,                0.17553,                0.53749,                 0.3878,                0.31189,                0.15742,                 1.5526,                 1.2628,                    inf,                 1.5118,             0.00052595,             0.00052595,             0.00052595
                      5,                  1.454,                 1.8804,                 2.0635,                 1.4348,                0.78732,                0.60489,                 0.7122,                0.40815,                0.78338,                0.60643,                0.71641,                0.36667,                 1.4095,                 1.0966,                 1.9191,                 1.3706,             0.00052592,             0.00052592,             0.00052592
                      6,                 1.3937,                 1.8088,                 1.8373,                  1.414,                0.75106,                0.69778,                 0.7957,                0.44369,                0.76146,                0.71043,                0.81392,                 0.4202,                 1.4453,                0.99245,                 1.5637,                 1.3971,             0.00052587,             0.00052587,             0.00052587
                      7,                 1.3818,                 1.7371,                 1.6522,                 1.4103,                0.75722,                0.75268,                0.81802,                0.50002,                0.75248,                0.74978,                0.81666,                0.45993,                 1.2994,                0.97374,                 1.4363,                 1.3582,             0.00052581,             0.00052581,             0.00052581
                      8,                 1.3014,                 1.7029,                 1.5251,                 1.3515,                0.80195,                0.83498,                0.88913,                0.52852,                0.80286,                0.82891,                0.89385,                0.49431,                 1.3064,                0.99277,                 1.1444,                 1.3375,             0.00052575,             0.00052575,             0.00052575
                      9,                 1.3028,                 1.6532,                 1.3287,                  1.369,                0.90666,                0.86376,                0.90022,                0.53401,                0.91261,                0.87027,                 0.8964,                0.49821,                 1.3276,                0.97518,                 1.0484,                 1.3478,             0.00052567,             0.00052567,             0.00052567
                     10,                 1.3328,                 1.7777,                 1.2976,                 1.3683,                0.85667,                0.88399,                0.90594,                0.53367,                 0.8529,                0.86931,                0.90358,                0.50576,                 1.3877,                 1.0356,                 1.0223,                 1.3908,             0.00052558,             0.00052558,             0.00052558
                     11,                 1.3099,                 1.6017,                 1.2205,                 1.3742,                0.87422,                0.91715,                0.93282,                0.55467,                0.84655,                0.88041,                0.90341,                0.50684,                 1.3269,                 1.0074,                 0.9493,                 1.3558,             0.00052549,             0.00052549,             0.00052549
                     12,                 1.2793,                  1.611,                 1.1809,                 1.3298,                0.95028,                0.87288,                0.92865,                0.54728,                0.92729,                0.85481,                0.89944,                 0.4985,                 1.3294,                 1.1175,                0.94093,                 1.3123,             0.00052538,             0.00052538,             0.00052538
                     13,                 1.2546,                 1.5744,                  1.099,                 1.3136,                0.91787,                0.94543,                0.94964,                0.57182,                0.87896,                0.89654,                0.91076,                  0.525,                 1.3033,                 0.9764,                0.87204,                 1.3366,             0.00052526,             0.00052526,             0.00052526
                     14,                 1.2529,                  1.514,                 1.0424,                 1.3116,                0.92015,                0.94568,                 0.9452,                0.58364,                0.88224,                0.91009,                0.91311,                0.51951,                 1.3004,                0.92485,                0.84763,                   1.32,             0.00052513,             0.00052513,             0.00052513
                     15,                 1.2531,                 1.5501,                 1.0268,                 1.3283,                0.92948,                0.97711,                  0.971,                0.58872,                0.90382,                0.92548,                0.92598,                0.55944,                  1.309,                 0.9497,                0.81048,                 1.3261,             0.00052499,             0.00052499,             0.00052499
                     16,                 1.2679,                 1.5219,                 1.0338,                 1.3428,                0.94832,                0.96419,                0.97136,                0.59133,                0.88366,                0.90484,                0.90924,                0.52179,                 1.3416,                0.98063,                 0.7955,                 1.3664,             0.00052484,             0.00052484,             0.00052484
                     17,                 1.2197,                 1.5579,                  0.991,                 1.3066,                0.94666,                0.95412,                0.96965,                0.60029,                0.89965,                0.91032,                0.92122,                 0.5396,                 1.2541,                0.92056,                 0.8163,                 1.2888,             0.00052469,             0.00052469,             0.00052469
                     18,                 1.2069,                 1.4946,                0.96144,                 1.2958,                0.93427,                0.97665,                0.97674,                0.60408,                 0.8938,                0.92737,                0.92511,                0.54868,                 1.2764,                0.87753,                0.74139,                 1.2875,             0.00052452,             0.00052452,             0.00052452
                     19,                 1.1965,                 1.4413,                0.91034,                 1.3006,                 0.9317,                0.96473,                0.96838,                0.58408,                0.88437,                0.90571,                0.91191,                0.52703,                 1.3401,                0.87904,                0.78658,                 1.3155,             0.00052434,             0.00052434,             0.00052434
                     20,                 1.1926,                 1.4686,                0.90441,                 1.2888,                0.96289,                0.98702,                0.98471,                0.60133,                 0.9001,                 0.9229,                0.92026,                0.53954,                  1.255,                0.84637,                0.72992,                 1.2709,             0.00052415,             0.00052415,             0.00052415
                     21,                 1.2008,                 1.4578,                0.90713,                 1.2975,                0.97389,                0.96151,                0.98656,                0.61503,                0.91375,                 0.9013,                0.92532,                0.55959,                 1.2382,                0.88799,                0.73175,                 1.2831,             0.00052395,             0.00052395,             0.00052395
                     22,                 1.1869,                 1.4645,                0.88623,                 1.2859,                 0.9535,                0.98641,                0.97481,                0.59076,                0.90902,                0.92366,                0.92088,                0.55196,                  1.287,                0.89884,                0.71521,                   1.29,             0.00052374,             0.00052374,             0.00052374
